,Unnamed: 0,budget,popularity,runtime,vote_average,vote_count,Days,Fantasy,Science Fiction,Action,Adventure,Crime,Drama,Thriller,Animation,Family,Western,Comedy,Romance,Mystery,Horror,War,History,Music,Foreign,popularity_index,y_test
2363,2363,29584033.76797455,3.455018,105.0,5.6,56.0,28614,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.078900585698621,83769672.29056203
4164,4164,29584033.76797455,4.892203,88.0,7.8,55.0,37457,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.07749164666828848,83769672.29056203
1937,1937,29584033.76797455,5.079017,95.0,5.1,14.0,34489,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.6370863841751027,83769672.29056203
845,845,80000000.0,7.386394,126.0,6.2,146.0,32340,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0.2057050984285476,83769672.29056203
70,70,170000000.0,40.748915,106.0,5.1,1020.0,32365,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.010794245751329512,222104681.0
3802,3802,29584033.76797455,1.807571,142.0,7.1,20.0,22637,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0.028178780606650362,83769672.29056203
830,830,30000000.0,50.622607,136.0,7.6,3948.0,34118,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0722269795397072,152159461.0
3276,3276,8000000.0,13.143045,101.0,6.9,672.0,36390,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.946807028383452,6491240.0
3487,3487,6000000.0,6.27257,94.0,6.6,111.0,33964,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.05846335320460892,2944752.0
1585,1585,30000000.0,28.624038,83.0,6.3,521.0,30436,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.053003783790297215,51132598.0
670,670,64000000.0,4.137237,133.0,5.3,63.0,32466,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.08876315891094863,74608570.0
4448,4448,29584033.76797455,0.33975700000000003,95.0,5.2,9.0,33579,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0.0015978503168229009,83769672.29056203
898,898,50000000.0,94.815867,130.0,5.6,2436.0,35912,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3.4321754778900138,709827462.0
2381,2381,18000000.0,10.991281,103.0,7.0,104.0,33282,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0.1435659599719372,676698.0
2470,2470,15000000.0,10.484642,110.0,5.3,215.0,29485,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4.594049091975458,30102717.0
1758,1758,27000000.0,36.921445,110.0,7.4,1323.0,34797,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1.864026337129921,56308881.0
657,657,65000000.0,6.227675,95.0,5.6,1600.0,37189,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17.950496927742716,240159255.0
807,807,56000000.0,35.4763,95.0,5.8,842.0,34440,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,9.647792740643162,113006880.0
678,678,65000000.0,9.568884,127.0,5.9,145.0,38079,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5103784069138524,121545703.0
2798,2798,12500000.0,34.821223,94.0,7.7,1451.0,35600,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0443705330124837,20416563.0
2268,2268,29584033.76797455,4.127155,102.0,6.6,35.0,35566,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.08092532708217695,83769672.29056203
179,179,132000000.0,84.366984,92.0,6.5,1346.0,37990,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1.896431934827569,373552094.0
1824,1824,29584033.76797455,7.336256,100.0,4.7,64.0,37913,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0067515115849770616,83769672.29056203
1346,1346,42000000.0,11.470135,124.0,5.4,173.0,32606,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32.96544480886457,32168970.0
181,181,130000000.0,84.68964799999998,90.0,6.9,3145.0,35628,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0.006639394764419321,631744560.0
1049,1049,45000000.0,19.637704,117.0,6.3,433.0,29784,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,32.485660905243776,178051587.0
840,840,55000000.0,32.657488,122.0,6.7,658.0,32088,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6246128614343415,41610884.0
3794,3794,4000000.0,3.663108,113.0,7.1,36.0,33551,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.050721805091970634,146402.0
3043,3043,29584033.76797455,1.83428,108.0,6.1,15.0,34713,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.02113408545498777,83769672.29056203
