,budget,popularity,revenue,runtime,vote_average,vote_count,Days,Fantasy,Science Fiction,Action,Adventure,Crime,Drama,Thriller,Animation,Family,Western,Comedy,Romance,Mystery,Horror,War,History,Music,Foreign,popularity_index
75,175000000.0,44.640291999999995,264218220.0,135.0,5.9,992.0,30933,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3976675180898577
76,175000000.0,32.852443,302469017.0,118.0,5.6,1962.0,36054,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.7643383775124
77,175000000.0,128.65596399999998,857611174.0,94.0,8.0,6560.0,38189,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0.011931160195644606
78,175000000.0,94.19931600000001,966550600.0,106.0,6.7,2892.0,38492,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8.827328530261118
79,200000000.0,77.30019399999999,623933331.0,124.0,6.6,6849.0,36321,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9509362407603655
80,170000000.0,77.178973,396600000.0,127.0,5.8,3118.0,37084,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.3930718965767905
81,180000000.0,110.62064699999999,758539785.0,97.0,7.0,4496.0,37812,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.15096492763324768
82,170000000.0,243.79174300000003,710644566.0,130.0,7.3,4410.0,37841,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6.213421123766404
83,27000000.0,2.418535,83769672.29056203,109.0,4.8,34.0,38073,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.04790392703130561
84,175000000.0,41.796339,150962475.0,119.0,5.9,1326.0,37639,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.414455374952981
85,170000000.0,72.22526500000001,714766572.0,136.0,7.6,5764.0,37743,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.121124570836633
86,165000000.0,44.041185999999996,752600867.0,93.0,6.0,1959.0,36339,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0.16142297675613362
87,190000000.0,130.311355,209154322.0,130.0,6.2,2846.0,38168,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4.009840480326346
88,165000000.0,203.73459,652105443.0,102.0,7.8,6135.0,37961,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,8.643840951089997
89,165000000.0,62.341073,471222889.0,108.0,7.1,4570.0,37239,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,11.421492721794625
90,165000000.0,47.323228,305875730.0,100.0,6.4,1474.0,34326,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.2805032849864655
91,165000000.0,48.775723,389681935.0,120.0,4.9,2491.0,38568,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22670837861825593
92,165000000.0,67.263269,494878759.0,98.0,7.5,4227.0,36267,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3.1432797088233047
93,200000000.0,69.405188,435000000.0,109.0,5.9,2143.0,33829,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.774831153913062
94,170000000.0,481.09862400000003,773328629.0,121.0,7.9,9742.0,37875,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8084376331368544
95,165000000.0,724.247784,675120017.0,169.0,8.1,10867.0,37973,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14.016127655475374
96,160000000.0,167.58371,825532764.0,148.0,8.1,13752.0,36398,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,19.375729545132785
97,15000000.0,9.476999000000001,77000000.0,120.0,6.5,143.0,38605,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2.9498262186761752
98,250000000.0,108.849621,1021103568.0,169.0,7.0,8297.0,37264,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8639599616644487
99,38000000.0,6.909942,207283925.0,106.0,6.6,3428.0,33089,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4.829842995979871
100,150000000.0,60.269279000000004,333932083.0,166.0,7.3,3292.0,35801,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,4.638227287854649
101,160000000.0,3.195174,353624124.0,132.0,7.1,5181.0,36712,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35278485707868595
102,160000000.0,127.28442700000001,653428261.0,137.0,6.6,3984.0,38351,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.613213096844751
103,150000000.0,35.580815,215283742.0,109.0,5.8,1470.0,36397,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2.071140374588801
104,160000000.0,21.133748,181674817.0,99.0,5.5,583.0,34874,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.8214114546838579
105,170000000.0,56.268916000000004,299370084.0,113.0,6.5,1725.0,38540,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4304198273235933
106,160000000.0,42.986467,798958165.0,93.0,6.0,2278.0,35244,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0.13464339154384203
107,160000000.0,63.148529,433677183.0,123.0,6.3,2268.0,38540,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1432797088233047
108,155000000.0,202.04263500000002,440603537.0,126.0,5.8,3631.0,38203,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.006770073972486621
109,155000000.0,49.661984000000004,415686217.0,113.0,6.2,1514.0,36428,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.1524268885180105
110,140000000.0,34.20669,449220945.0,183.0,6.6,1791.0,33057,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0.38026832802534005
111,150000000.0,25.468493,709709780.0,144.0,6.6,4040.0,35285,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.692113682543372
112,155000000.0,39.019228999999996,167298192.0,175.0,5.6,927.0,34337,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0.1711251654596303
113,150000000.0,78.14439499999999,938212738.0,138.0,7.4,5494.0,35286,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.1711251654596303
114,150000000.0,101.250416,895921036.0,157.0,7.5,5608.0,34686,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25.79963772081756
115,150000000.0,56.758410999999995,624029371.0,92.0,6.2,2961.0,35655,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.79963772081756
116,150000000.0,70.867401,585349010.0,101.0,6.9,4853.0,35455,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,6.837581114203709
117,150000000.0,53.905592000000006,474968763.0,115.0,6.7,3624.0,34571,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3.293141288142984
118,150000000.0,65.677399,623722818.0,111.0,7.5,4369.0,35280,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,6.1556546235227705
119,150000000.0,115.040024,374218673.0,140.0,7.5,7359.0,34538,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4.298065140676025
120,150000000.0,44.141021,603900354.0,89.0,6.2,1810.0,35776,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4.298065140676025
121,150000000.0,81.781591,413106170.0,105.0,5.9,1971.0,35978,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,9.578748084062603
