,budget,popularity,revenue,runtime,vote_average,vote_count,Days,Fantasy,Science Fiction,Action,Adventure,Crime,Drama,Thriller,Animation,Family,Western,Comedy,Romance,Mystery,Horror,War,History,Music,Foreign
133,150000000,50.306728,245527149,113.0,5.7,2320,37062,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
134,150000000,114.52223700000002,682330139,131.0,7.1,3224,38233,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
135,150000000,21.214571,0,102.0,5.5,549,36245,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
136,150000000,29.332905,287594577,91.0,5.7,1171,35408,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
137,150000000,51.247321,665692281,91.0,6.7,1880,36713,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
138,150000000,33.769335999999996,318502923,103.0,4.7,1151,36384,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
139,150000000,63.079003,397850012,126.0,6.5,2028,34865,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
140,150000000,39.004588,205366737,131.0,6.4,1891,37477,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
141,150000000,12.362599000000001,38992758,88.0,5.5,199,36636,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
142,149000000,22.550135,64459316,85.0,6.0,874,35037,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
143,150000000,48.03528,128388320,111.0,5.9,954,38296,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
144,145000000,38.73494,272912430,92.0,6.7,843,37702,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
145,175000000,66.803149,497409852,163.0,6.9,2759,34145,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
146,145000000,44.989191999999996,746921274,93.0,6.4,1808,37091,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
147,140000000,54.159392000000004,431971116,133.0,5.8,1092,33602,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
148,144000000,66.21806,229147509,116.0,5.3,2142,38590,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
149,140000000,58.485967,553799566,151.0,6.4,2482,32002,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
150,140000000,91.332849,441818803,88.0,6.0,3114,33465,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
151,70000000,35.601665000000004,195735876,115.0,5.5,841,35416,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
152,145000000,56.747978,521170825,95.0,6.7,1603,38417,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
