,budget,popularity,runtime,vote_average,vote_count,Fantasy,Science Fiction,Action,Adventure,Crime,Drama,Thriller,Animation,Family,Western,Comedy,Romance,Mystery,Horror,War,History,Music,Documentary,Foreign,TV Movie,Days
4050,2280000.0,32.875469,124.0,7.2,808,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,10953
4051,29045039.87528628,0.015295,90.0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37830
4052,4000000.0,14.206525,95.0,5.7,254,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,26201
4053,2200000.0,12.639469,92.0,5.1,196,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,27153
4054,29045039.87528628,2.371477,117.0,6.2,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35147
4055,29045039.87528628,2.470443,115.0,6.6,48,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38108
4056,29045039.87528628,1.532518,90.0,5.7,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,35637
4057,2160000.0,0.1813,119.0,5.8,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12614
4058,2300000.0,2.713171,97.0,5.6,19,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38324
4059,29045039.87528628,0.258413,90.0,3.5,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,34489
4060,29045039.87528628,2.0257009999999998,90.0,5.4,12,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,37982
4061,29045039.87528628,2.6598040000000003,85.0,5.7,59,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,35389
4062,2100000.0,8.38717,172.0,7.6,143,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,13186
4063,29045039.87528628,6.677092999999999,113.0,6.7,125,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33082
4064,29045039.87528628,2.5263560000000003,89.0,7.0,51,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32991
4065,2100000.0,0.039007,126.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38318
4066,1500000.0,31.691616999999997,78.0,7.1,934,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,35207
4067,29045039.87528628,0.47908999999999996,88.0,4.5,4,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,36479
4068,29045039.87528628,0.027801,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38030
4069,29045039.87528628,2.122451,77.0,5.1,36,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,38219
4070,29045039.87528628,0.803761,81.0,4.1,15,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,38087
4071,2000000.0,41.298722999999995,115.0,6.9,760,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19320
4072,29045039.87528628,1.7913310000000002,96.0,5.3,39,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,28588
4073,2000000.0,10.664202000000001,89.0,7.0,200,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,23040
4074,2000000.0,100.87679399999999,100.0,6.6,1832,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,38064
4075,2000000.0,13.223111,88.0,6.6,215,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22542
4076,2000000.0,22.139842,129.0,8.0,657,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19030
4077,2000000.0,37.117362,95.0,7.3,957,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25969
4078,29045039.87528628,15.046612,102.0,7.2,242,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30393
4079,2000000.0,15.557144000000001,118.0,7.2,353,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32430
4080,2000000.0,11.666319999999999,85.0,5.2,125,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,36589
4081,2000000.0,34.938177,137.0,7.9,958,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34816
4082,1000000.0,5.961119,129.0,6.8,77,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36841
4083,2000000.0,17.639478,134.0,7.6,240,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18574
4084,2000000.0,1.867004,119.0,6.5,8,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10878
4085,8000000.0,13.944645000000001,80.0,7.3,231,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,33808
4086,29045039.87528628,2.304552,89.0,6.6,24,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,31836
4087,29045039.87528628,7.792851,101.0,7.1,120,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,33873
4088,2700000.0,14.799323000000001,80.0,7.6,718,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34052
4089,2000000.0,23.281616,154.0,7.6,521,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32718
4090,2000000.0,20.331592999999998,100.0,6.7,339,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33878
4091,2000000.0,5.381536,118.0,6.8,47,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13507
4092,2000000.0,20.834882999999998,100.0,6.8,565,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36365
4093,29045039.87528628,14.045886999999999,106.0,7.6,138,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,33894
4094,2000000.0,0.48397399999999996,106.0,4.8,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,10049
4095,29045039.87528628,9.719094,90.0,7.0,107,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34545
4096,2000000.0,16.930914,109.0,7.7,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,36484
4097,6000000.0,28.819423999999998,96.0,6.3,658,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,38267
4098,29045039.87528628,18.223139,116.0,7.2,298,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32441
4099,2000000.0,12.999023,120.0,6.3,197,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34631
4100,2000000.0,6.7288820000000005,97.0,5.6,92,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38289
4101,2000000.0,1.9568599999999998,96.0,4.8,26,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,33495
4102,29045039.87528628,7.151153999999999,98.0,5.9,58,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27802
4103,2000000.0,14.846001000000001,101.0,6.3,140,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,34882
4104,2000000.0,14.082510000000001,90.0,7.8,291,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,35649
4105,2000000.0,0.031947,120.0,5.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33901
4106,2000000.0,2.2837959999999997,102.0,7.2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,35315
4107,2000000.0,18.224326,98.0,6.8,279,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,38248
4108,2000000.0,3.4315900000000004,109.0,7.6,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,35126
4109,29045039.87528628,4.749885,104.0,6.5,77,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,36451
4110,2000000.0,3.9800720000000003,92.0,6.8,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,34419
4111,29045039.87528628,1.096355,99.0,7.1,19,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32795
